iter	Accuracy	MultiClass
163	0.4269126595	1.497711202
164	0.426983317	1.497539934
165	0.4270107949	1.497295582
166	0.4270696762	1.497061598
167	0.4273169774	1.496765769
168	0.4272423945	1.496480558
169	0.4273483808	1.496258193
170	0.4274661433	1.495870508
171	0.4276467125	1.495609754
172	0.4277055937	1.495423905
173	0.4277998037	1.4951607
174	0.4277409225	1.494963352
175	0.4279214917	1.494542177
176	0.4280824338	1.494333222
177	0.428235525	1.494038969
178	0.4282669284	1.493627175
179	0.4283729146	1.493271635
180	0.4283179588	1.492837427
181	0.4284867517	1.492556791
182	0.4285103042	1.492212173
183	0.4285966634	1.491815505
184	0.4286476938	1.491674989
185	0.4289421001	1.49131441
186	0.4289421001	1.490959716
187	0.4290088322	1.490670455
188	0.4291344455	1.490341651
189	0.429138371	1.490117199
190	0.4293346418	1.489739028
191	0.4295230618	1.489306789
192	0.4295505397	1.489046369
193	0.4296879293	1.488804706
194	0.429797841	1.488617298
195	0.4299509323	1.488384725
196	0.4300098135	1.487954912
197	0.4300098135	1.48773741
198	0.4301000981	1.487539966
199	0.4302178606	1.487286145
200	0.4302571148	1.487120607
201	0.4304062807	1.486899993
202	0.4305240432	1.486697301
203	0.4304494603	1.486496584
204	0.4306339549	1.486291097
205	0.4307046124	1.485887445
206	0.4308027478	1.485492056
207	0.430814524	1.485218863
208	0.4309519136	1.485061454
209	0.4309165849	1.48480922
210	0.4309440628	1.484448015
211	0.4310814524	1.484336603
212	0.4311638862	1.4840306
213	0.4313640824	1.483733206
214	0.4313719333	1.483571856
215	0.4313994112	1.483391514
216	0.4315053974	1.483135411
217	0.4315799804	1.482824855
218	0.4316310108	1.482687523
219	0.4316938175	1.482569809
220	0.4317291462	1.482396299
221	0.4317526987	1.482221441
222	0.4319411187	1.481864052
223	0.432	1.4817269
224	0.4321962709	1.481493222
225	0.4321530913	1.481296539
226	0.4321648675	1.480952895
227	0.4323886163	1.480590202
228	0.4324317959	1.480475904
229	0.4324553484	1.480188596
230	0.4324828263	1.479927811
231	0.4324592738	1.479692189
232	0.4325220805	1.479536747
233	0.4327105005	1.47936554
234	0.4327497547	1.478979587
235	0.432781158	1.478640873
236	0.4329106968	1.478531235
237	0.4328949951	1.478411703
238	0.4331305201	1.478106337
239	0.4330127576	1.477888288
240	0.4329028459	1.477660275
241	0.4329460255	1.477554038
242	0.4329656526	1.47726878
243	0.433016683	1.477071151
244	0.4331501472	1.47678959
245	0.4332404318	1.476367771
246	0.4333464181	1.476091627
247	0.4334838077	1.475832714
248	0.4335269872	1.475672861
249	0.4336447498	1.475487722
250	0.4336918548	1.475295416
251	0.4337546614	1.475188443
252	0.433892051	1.474828413
253	0.4340569185	1.474478317
254	0.4340098135	1.474216889
255	0.4343002944	1.473863819
256	0.4343552502	1.473790911
257	0.4343631011	1.47349781
258	0.4344455348	1.473355026
259	0.434531894	1.47316511
260	0.4346692836	1.473041106
261	0.4346771344	1.472880986
262	0.4347556428	1.472583644
263	0.434794897	1.47238973
264	0.4348734053	1.472216208
265	0.4349440628	1.472007189
266	0.4350736016	1.471690504
267	0.4351089303	1.471577553
268	0.4350618253	1.471367995
269	0.4351403337	1.471080426
270	0.4351952895	1.470801917
271	0.4352580962	1.470566774
272	0.4352384691	1.470447894
273	0.4352423945	1.470289298
274	0.4352070658	1.470176785
275	0.4352580962	1.470093379
276	0.4353876349	1.469913751
277	0.4354347399	1.469700001
278	0.4355210991	1.469537318
279	0.43552895	1.46928082
280	0.4355328754	1.469057218
281	0.4356506379	1.468867332
282	0.4357055937	1.468669876
283	0.4357762512	1.468521465
284	0.4357841021	1.468296163
285	0.4358979392	1.468094837
286	0.4359568204	1.467899451
287	0.4360863592	1.467641592
288	0.4361138371	1.46742367
289	0.4362708538	1.467246099
290	0.4363258096	1.46715081
291	0.4363532875	1.467019507
292	0.4363807655	1.466865643
293	0.4364592738	1.466687487
294	0.4365220805	1.466550461
295	0.4365534838	1.466363129
296	0.4365338567	1.466200147
297	0.4365260059	1.466054462
298	0.4365613346	1.465973461
299	0.4366045142	1.465873052
300	0.4366987242	1.465662512
301	0.4368086359	1.465534514
302	0.4368792934	1.465392583
303	0.4369263984	1.465202233
304	0.4370363101	1.465080025
305	0.4371265947	1.464870971
306	0.4371540726	1.464769432
307	0.4372639843	1.46459448
308	0.4373071639	1.464454113
309	0.437252208	1.464282561
310	0.4374170756	1.464137798
311	0.4374327772	1.463955633
312	0.437468106	1.463798356
313	0.4375426889	1.463470568
314	0.4376408243	1.46321656
315	0.4376172718	1.463151317
316	0.4377075564	1.463000798
317	0.4377821394	1.462879151
318	0.4377939156	1.462735901
319	0.437939156	1.462606169
320	0.4380883219	1.462385052
321	0.4381354269	1.462275792
322	0.438107949	1.462111974
323	0.4380726202	1.461874496
324	0.4379980373	1.461688508
325	0.4382060844	1.46144136
326	0.4382296369	1.461336773
327	0.4383120707	1.461127814
328	0.4383199215	1.460924215
329	0.4384259078	1.46074358
330	0.4384926398	1.460637993
331	0.4385122669	1.460387796
332	0.4385632974	1.460207621
333	0.4386300294	1.460043169
334	0.4386575074	1.459911218
335	0.4386457311	1.459784934
336	0.4386810599	1.459667099
337	0.4387046124	1.459489912
338	0.4388263003	1.459375049
339	0.4388223749	1.459250296
340	0.4389283611	1.459060749
341	0.4390107949	1.458869719
342	0.4389636899	1.458764346
343	0.4390421982	1.458613254
344	0.4391521099	1.458518958
345	0.4390853778	1.458367067
346	0.4391560353	1.458201987
347	0.4393758587	1.457965196
348	0.4394229637	1.457812506
349	0.439548577	1.457683462
350	0.4396270854	1.457498392
351	0.4396584887	1.45737448
352	0.4398194308	1.457182486
353	0.4398037291	1.45701795
354	0.4398783121	1.456821471
355	0.4398704612	1.456720853
356	0.4398783121	1.45663783
357	0.4399214917	1.456528575
358	0.4399254171	1.456416082
359	0.4401059863	1.456145816
360	0.44028263	1.455947708
361	0.4403689892	1.455824428
362	0.44028263	1.455607706
363	0.4404631992	1.455439455
364	0.4403964671	1.455263323
365	0.4404749755	1.455071801
366	0.4405613346	1.454877559
367	0.4406476938	1.454728595
368	0.4406947988	1.454615016
369	0.4407654563	1.454460518
370	0.4408400393	1.45427486
371	0.4408361138	1.454165052
372	0.4409146222	1.453945799
373	0.4408439647	1.45380804
374	0.440828263	1.453649989
375	0.4409303238	1.453469097
376	0.441157998	1.453327446
377	0.4412286555	1.453188463
378	0.4412404318	1.45298147
379	0.4414092247	1.452790186
380	0.4413699706	1.452657815
381	0.4414838077	1.452511008
382	0.4415662414	1.452394467
383	0.4415309127	1.452295627
384	0.4415269872	1.452156559
385	0.4416408243	1.451961278
386	0.4417703631	1.451880881
387	0.4417271835	1.451715725
388	0.4416918548	1.451566907
389	0.4417468106	1.451512317
390	0.4418370952	1.451236879
391	0.4418488714	1.451064929
392	0.4420019627	1.450808277
393	0.4421315015	1.450642695
394	0.4422060844	1.450474651
395	0.4423159961	1.450388868
396	0.4423473994	1.45021443
397	0.442296369	1.450126224
398	0.4422767419	1.450051445
399	0.4422728165	1.449904827
400	0.4423120707	1.449776569
401	0.4423159961	1.449722234
402	0.4423984298	1.44956224
403	0.4425358194	1.449408171
404	0.442578999	1.449322976
405	0.4425907753	1.449239545
406	0.4426064769	1.449157789
407	0.4426889107	1.449022924
408	0.4426418057	1.448939095
409	0.4426378803	1.44874333
410	0.4426928361	1.448496605
411	0.4427556428	1.448361721
412	0.4428105986	1.44827156
413	0.4428498528	1.448054755
414	0.4429479882	1.447977497
415	0.4430068695	1.447838741
416	0.443077527	1.447734252
417	0.4431638862	1.447518997
418	0.4432541708	1.447395407
419	0.4433287537	1.447303061
420	0.4433169774	1.447103261
421	0.4433326791	1.446996244
422	0.4433366045	1.446900156
423	0.4433915604	1.446774998
424	0.443454367	1.446544518
425	0.443576055	1.446332918
426	0.4436663395	1.446155129
427	0.4436938175	1.446049693
428	0.4436781158	1.445939575
429	0.4437291462	1.445808459
430	0.4438861629	1.445605502
431	0.4438900883	1.445450616
432	0.4439371933	1.445373685
433	0.4438783121	1.445247306
434	0.444047105	1.445130368
435	0.4440902846	1.444950049
436	0.4441609421	1.444826994
437	0.4442747792	1.444667749
438	0.4443650638	1.444539454
439	0.444329735	1.444375782
440	0.4443650638	1.444256206
441	0.4444160942	1.44411959
442	0.444545633	1.44398119
443	0.4446319921	1.443841065
444	0.4445652601	1.443702395
445	0.4446280667	1.443565997
446	0.4446476938	1.443442807
447	0.4447458292	1.443316464
448	0.4447536801	1.443159121
449	0.4447929342	1.442931081
450	0.4448361138	1.44279266
451	0.4448400393	1.442613802
452	0.4448989205	1.442474122
453	0.4449499509	1.442375785
454	0.4450245339	1.442154211
455	0.4450559372	1.442074049
456	0.4451894014	1.441868366
457	0.4452404318	1.441728947
458	0.4452836114	1.441560166
459	0.4453228656	1.441366462
460	0.4453424926	1.441228386
461	0.4453503435	1.441116668
462	0.4454170756	1.440969646
463	0.4455701668	1.440776221
464	0.4456133464	1.440692926
465	0.4456840039	1.440610326
466	0.4457350343	1.440510391
467	0.4457468106	1.440383224
468	0.4458135427	1.440234231
469	0.4458056919	1.440072301
470	0.4459038273	1.439963044
471	0.4458881256	1.439869581
472	0.4459273798	1.439680051
473	0.445966634	1.439584272
474	0.4460451423	1.439504847
475	0.4460294406	1.439404659
476	0.4460883219	1.439269377
477	0.4461864573	1.439116578
478	0.4461393523	1.43893874
479	0.4461903827	1.43882809
480	0.4463042198	1.438746382
481	0.4462257115	1.43862489
482	0.4463316977	1.438467029
483	0.4462924436	1.43839408
484	0.4463866536	1.438257717
485	0.4464455348	1.438113715
486	0.4464887144	1.43803304
487	0.4465279686	1.437911046
488	0.4466300294	1.43776235
489	0.4467320903	1.437589121
490	0.4467988224	1.437395304
491	0.4468380765	1.437316982
492	0.4468537782	1.437141796
493	0.4468655545	1.437043629
494	0.4469597645	1.436899987
495	0.447030422	1.436767466
496	0.4471324828	1.436536926
497	0.4472423945	1.436336739
498	0.4472266928	1.436306369
499	0.4473091266	1.436203083
500	0.4473680079	1.436042869
501	0.4474033366	1.435855229
502	0.4474386654	1.435785853
503	0.4475093229	1.435592739
504	0.4476153091	1.435462655
505	0.447670265	1.435308501
506	0.4477880275	1.435171184
507	0.447858685	1.434962859
508	0.4479175662	1.434848973
509	0.4479882237	1.434696363
510	0.4479646712	1.434603992
511	0.4480981354	1.434469876
512	0.4482158979	1.434308682
513	0.4482590775	1.434148192
514	0.4483611384	1.433991758
515	0.4483532875	1.433863792
516	0.4484200196	1.433764627
517	0.4485888126	1.433604801
518	0.4485731109	1.433535911
519	0.4485142296	1.43347478
520	0.4486241413	1.433320722
521	0.4485966634	1.433183303
522	0.4487105005	1.433014905
523	0.4486751717	1.432808273
524	0.4486790972	1.432654477
525	0.4487497547	1.43255712
526	0.4487458292	1.432477203
527	0.4488557409	1.432349823
528	0.4488832188	1.432192549
529	0.4489263984	1.432134268
530	0.4490363101	1.431953787
531	0.4489970559	1.431849171
532	0.4491148184	1.431753472
533	0.4491736997	1.431618014
534	0.4492639843	1.431485206
535	0.4493032385	1.431359584
536	0.4492286555	1.431250426
537	0.4492836114	1.431117211
538	0.4492836114	1.431029727
539	0.4493189401	1.43079388
540	0.449279686	1.430726203
541	0.4493110893	1.430685083
542	0.4494249264	1.430561519
543	0.4494249264	1.430373668
544	0.4494759568	1.43027711
545	0.4495740922	1.430196263
546	0.4495897939	1.430092599
547	0.4495819431	1.430030991
548	0.4495544652	1.429898811
549	0.449609421	1.429804388
550	0.4497193327	1.429651932
551	0.4497899902	1.429505397
552	0.4497821394	1.429397386
553	0.449939156	1.429236014
554	0.449986261	1.429141458
555	0.4500922473	1.429044362
556	0.4501707556	1.428922772
557	0.4502374877	1.428773359
558	0.4502649657	1.428611942
559	0.4502649657	1.428482771
560	0.4503395486	1.428425872
561	0.4503199215	1.428303168
562	0.4503866536	1.428181708
563	0.450437684	1.428049369
564	0.4504494603	1.427909148
565	0.4505750736	1.427737018
566	0.4505947007	1.427583206
567	0.4505436703	1.427517304
568	0.4506692836	1.427393559
569	0.4507399411	1.427270981
570	0.4507713445	1.427153789
571	0.4509205103	1.426938418
572	0.4510343474	1.426769912
573	0.4511795878	1.426608565
574	0.4512109912	1.426492462
575	0.451171737	1.426415307
576	0.4512227674	1.426275386
577	0.451124632	1.426160657
578	0.4512345437	1.42603108
579	0.4512463199	1.425865394
580	0.4512934249	1.42576444
581	0.4513640824	1.425663086
582	0.451407262	1.425555933
583	0.451454367	1.425406829
584	0.4514896958	1.425280064
585	0.451670265	1.425173811
586	0.4517016683	1.424962544
587	0.4517762512	1.424798906
588	0.4518233562	1.42468657
589	0.4518351325	1.424503955
590	0.4518429833	1.424308961
591	0.4518979392	1.424164531
592	0.4519411187	1.424109968
593	0.4520196271	1.423937202
594	0.4521295388	1.423766781
595	0.4521648675	1.42366687
596	0.4521844946	1.423598438
597	0.4521766438	1.423498774
598	0.452235525	1.423395631
599	0.452235525	1.423249223
600	0.4522944063	1.423155166
601	0.4523336605	1.423040986
602	0.4523336605	1.422909562
603	0.4524160942	1.422738567
604	0.4524592738	1.422664781
605	0.4523611384	1.422500328
606	0.4524553484	1.422384089
607	0.4525338567	1.422266337
608	0.4525691855	1.42209505
609	0.4525848871	1.422033682
610	0.452592738	1.421947078
611	0.4526555447	1.421853308
612	0.452686948	1.4216918
613	0.4527693817	1.421566195
614	0.4528007851	1.421460866
615	0.4528832188	1.421370679
616	0.4528989205	1.421305144
617	0.4529303238	1.421179568
618	0.452922473	1.421029574
619	0.4530088322	1.420852691
620	0.4530755643	1.420750563
621	0.4531736997	1.420630026
622	0.4531894014	1.420527288
623	0.4532914622	1.420369048
624	0.4532993131	1.420259732
625	0.4532482826	1.420140601
626	0.4533307164	1.420010258
627	0.4534170756	1.419861211
628	0.4533817468	1.419684173
629	0.4534798822	1.419574098
630	0.4536526006	1.419418461
631	0.4537939156	1.419302185
632	0.4538174681	1.419096307
633	0.4537703631	1.419019714
634	0.4538684985	1.418947008
635	0.4538645731	1.418854316
636	0.4538842002	1.418730863
637	0.454013739	1.418558256
638	0.4541589794	1.418459073
639	0.4542924436	1.41829546
640	0.4543277723	1.418181896
641	0.4543238469	1.418132615
642	0.4544298332	1.418020415
643	0.4544494603	1.417888599
644	0.4545083415	1.417782113
645	0.4545122669	1.417708902
646	0.4546025515	1.417615496
647	0.4545515211	1.41753323
648	0.4545907753	1.417408787
649	0.4545986261	1.417260583
650	0.4546418057	1.41714932
651	0.4547634936	1.416993128
652	0.4547595682	1.416853917
653	0.4547791953	1.416746398
654	0.4548341511	1.416640694
655	0.4548184495	1.416522345
656	0.454842002	1.416456254
657	0.4549008832	1.416406007
658	0.4550186457	1.416265807
659	0.4551403337	1.416144466
660	0.4551442591	1.416014382
661	0.4551364082	1.415942672
662	0.4551324828	1.415885359
663	0.4551442591	1.415781811
664	0.4552855741	1.415586483
665	0.4553640824	1.415499184
666	0.4554308145	1.415404323
667	0.4554033366	1.415235479
668	0.4554700687	1.415105973
669	0.455548577	1.414989322
670	0.4554425908	1.414856366
671	0.455501472	1.414751331
672	0.455595682	1.414621252
673	0.4556624141	1.414535088
674	0.4556820412	1.41444986
675	0.4558469087	1.414303417
676	0.4558076546	1.414203665
677	0.4559411187	1.414047183
678	0.4559214917	1.413974545
679	0.4559960746	1.413871466
680	0.4559921492	1.413796508
681	0.4561177625	1.413672974
682	0.4561452404	1.413532854
683	0.4562983317	1.413338926
684	0.4563375859	1.413238172
685	0.456404318	1.413195013
686	0.4563454367	1.413045469
687	0.456423945	1.412962208
688	0.4563846909	1.412937193
689	0.4564749755	1.412865185
690	0.4565731109	1.412708671
691	0.4566476938	1.412579068
692	0.4566516192	1.412465808
693	0.4567929342	1.412348754
694	0.4568871443	1.412204749
695	0.4568871443	1.412067407
696	0.4568792934	1.412007189
697	0.457016683	1.411896845
698	0.4569852797	1.411771122
699	0.4570912659	1.411583423
700	0.4571148184	1.411489339
701	0.4570598626	1.411397695
702	0.4571226693	1.41123238
703	0.4570716389	1.411138021
704	0.457205103	1.410987948
705	0.4571933268	1.410925826
706	0.457205103	1.410877644
707	0.457252208	1.410795538
708	0.4573581943	1.410647108
709	0.4573621197	1.410464555
710	0.4574327772	1.410345226
711	0.457562316	1.410229727
712	0.4575505397	1.410166673
713	0.4575740922	1.410064636
714	0.4575976447	1.410015992
715	0.4576133464	1.409961035
716	0.4578135427	1.409784965
717	0.4578213935	1.4096533
718	0.4578174681	1.409522609
719	0.4578842002	1.409354981
720	0.4578763494	1.409235746
721	0.4579470069	1.409122252
722	0.4579823356	1.408995872
723	0.4579430815	1.408906604
724	0.4579470069	1.408853191
725	0.4579548577	1.408774611
726	0.4580176644	1.408678814
727	0.458107949	1.408583569
728	0.4581157998	1.408533311
729	0.4581746811	1.40839692
730	0.4581982336	1.408321288
731	0.4582571148	1.408189967
732	0.4582845927	1.408101438
733	0.4583945044	1.407978728
734	0.4583631011	1.407822287
735	0.4584219823	1.407708827
736	0.4584494603	1.407615729
737	0.4585122669	1.407483983
738	0.4585279686	1.407404243
739	0.4585515211	1.407321611
740	0.4586104024	1.407246007
741	0.4586025515	1.407185698
742	0.458673209	1.407110746
743	0.4587281649	1.406962713
744	0.4587988224	1.406885738
745	0.4589715407	1.406731726
746	0.4589322866	1.406585639
747	0.458936212	1.406546853
748	0.4589205103	1.406436775
749	0.459077527	1.406330688
